id,player,from,to,position,height,weight,birth_date,colleges
honeyty01,Tyler Honeycutt,2012,2013,F,203,188,1990-07-15,UCLA
hoodde01,Derek Hood,2000,2000,F,203,222,1976-12-22,Arkansas
hoodro01,Rodney Hood,2015,2022,G-F,203,208,1992-10-20,"Mississippi State, Duke"
hoopebo01,Bobby Hooper,1969,1969,G,183,180,1946-12-22,Dayton
hooseca01,Carroll Hooser,1968,1968,F,201,230,1944-03-05,SMU
hooveto01,Tom Hoover,1964,1969,C,206,230,1941-01-23,Villanova
hopkibo01,Bob Hopkins,1957,1960,C-F,203,205,1934-11-03,Grambling State University
hoppeda01,Dave Hoppen,1988,1993,C-F,211,235,1964-03-13,Nebraska
hopsode01,Dennis Hopson,1988,1992,G-F,196,200,1965-04-22,Ohio State
hopsosc01,Scotty Hopson,2014,2022,G,201,204,1989-08-08,Tennessee
horanjo01,Johnny Horan,1956,1956,F,203,190,1932-11-24,Dayton
hordgce01,Cedrick Hordges,1981,1982,F-C,203,220,1957-01-08,"Auburn, South Carolina"
horfoal01,Al Horford,2008,2023,C-F,206,240,1986-06-03,Florida
horfoti01,Tito Horford,1989,1994,C,216,245,1966-01-19,Miami (FL)
hornro01,Ron Horn,1962,1968,F,201,220,1938-05-24,Indiana
hornaje01,Jeff Hornacek,1987,2000,G,190,190,1963-05-03,Iowa State
hornede01,Dennis Horner,2012,2012,F,206,230,1988-02-05,NC State
horryro01,Robert Horry,1993,2008,F,208,240,1970-08-25,Alabama
hortoed01,Ed Horton,1990,1990,F,203,230,1967-12-17,Iowa
hortota01,Talen Horton-Tucker,2020,2023,G-F,193,234,2000-11-25,Iowa State
hoskebi01,Bill Hosket,1969,1972,F-C,203,225,1946-12-20,Ohio State
houbrbo01,Bob Houbregs,1954,1958,C-F,203,225,1932-03-12,Washington
houseda01,Danuel House Jr.,2017,2023,G,198,220,1993-06-07,Texas A&M
houseed01,Eddie House,2001,2011,G,185,180,1978-05-14,Arizona State
houstca01,Caleb Houstan,2023,2023,G-F,203,205,2003-01-09,Michigan
houstal01,Allan Houston,1994,2005,G,198,200,1971-04-20,Tennessee
houstby01,Byron Houston,1993,1996,F,196,250,1969-11-22,Oklahoma State
hovasto01,Tom Hovasse,1995,1995,F,203,205,1967-01-31,Penn State
howarbr01,Brian Howard,1992,1993,F,198,204,1967-10-19,NC State
howardw01,Dwight Howard,2005,2022,C,208,265,1985-12-08,
howargr01,Greg Howard,1971,1972,F-C,206,215,1948-01-08,New Mexico
howarjo01,Josh Howard,2004,2013,F-G,201,210,1980-04-28,Wake Forest
howarju01,Juwan Howard,1995,2013,F,206,240,1973-02-07,Michigan
howarma02,Markus Howard,2021,2022,G,178,175,1999-03-03,Marquette
howarmo01,Mo Howard,1977,1977,G,188,170,1954-08-25,Maryland
howarot01,Otis Howard,1979,1979,F,201,220,1956-11-05,Austin Peay State University
howarst01,Stephen Howard,1993,1998,F,206,225,1970-07-15,DePaul
howarwi01,William Howard,2020,2020,F,203,207,1993-10-25,
howelba01,Bailey Howell,1960,1971,F,201,210,1937-01-20,Mississippi State
hubbabo01,Bob Hubbard,1948,1949,C-F,198,215,1922-12-27,Springfield College
hubbaph01,Phil Hubbard,1980,1989,F-C,203,215,1956-12-13,Michigan
hudgitr01,Trevor Hudgins,2023,2023,G,183,180,1999-03-23,Northwest Missouri State University
hudsole01,Lester Hudson,2010,2015,G,190,190,1984-08-07,University of Tennessee at Martin
hudsolo01,Lou Hudson,1967,1979,F-G,196,210,1944-07-11,Minnesota
hudsotr01,Troy Hudson,1998,2008,G,185,170,1976-03-13,"Missouri, Southern Illinois"
huertma01,Marcelo Huertas,2016,2017,G,190,200,1983-05-25,
huertke01,Kevin Huerter,2019,2023,G,201,190,1998-08-27,Maryland
huestjo01,Josh Huestis,2016,2018,F,201,230,1991-12-19,Stanford
huffja01,Jay Huff,2022,2023,F-C,216,240,1998-08-25,Virginia
huffmna01,Nate Huffman,2003,2003,C,216,245,1975-04-02,Central Michigan University
hugheri01,Alfredrick Hughes,1986,1986,F-G,196,215,1962-07-19,Loyola Chicago
hugheed01,Eddie Hughes,1988,1990,G,178,165,1960-05-26,Colorado State
hugheel01,Elijah Hughes,2021,2022,F,196,215,1998-03-10,"Syracuse, East Carolina University"
hugheki01,Kim Hughes,1976,1981,C,211,220,1952-06-04,Wisconsin
hughela01,Larry Hughes,1999,2012,G,196,184,1979-01-23,Saint Louis
hugheri02,Rick Hughes,2000,2000,F,206,235,1973-08-22,Thomas More College
hummero01,Robbie Hummel,2014,2015,F,203,215,1989-03-08,Purdue
hummejo01,John Hummer,1971,1976,F-C,206,230,1948-05-04,Princeton
humphry01,Ryan Humphrey,2003,2005,F,203,235,1979-07-24,"Oklahoma, Notre Dame"
humphis01,Isaac Humphries,2019,2019,C,213,255,1998-01-05,Kentucky
humphja01,Jay Humphries,1985,1995,G,190,185,1962-10-17,Colorado
humphkr01,Kris Humphries,2005,2017,F-C,206,235,1985-02-06,Minnesota
hundlho01,Hot Rod Hundley,1958,1963,G,193,185,1934-10-26,West Virginia
huntfe01,Feron Hunt,2022,2022,F,203,195,1999-07-05,SMU
huntebr01,Brandon Hunter,2004,2005,F,201,260,1980-11-24,Ohio University
huntece01,Cedric Hunter,1992,1992,G,183,180,1965-01-16,Kansas
huntech01,Chris Hunter,2010,2010,F,211,240,1984-07-07,Michigan
huntede01,De'Andre Hunter,2020,2023,F,203,225,1997-12-02,Virginia
huntele01,Les Hunter,1965,1973,F-C,201,210,1942-08-16,Loyola Chicago
hunteli01,Lindsey Hunter,1994,2010,G,188,170,1970-12-03,"Alcorn State, Jackson State University"
hunteot01,Othello Hunter,2009,2010,F,203,225,1986-05-28,Ohio State
hunterj01,R.J. Hunter,2016,2019,G,196,185,1993-10-24,Georgia State University
huntest01,Steven Hunter,2002,2010,C,213,220,1981-10-31,DePaul
huntevi01,Vince Hunter,2018,2018,F,203,208,1994-08-05,Texas-El Paso
hurlebo01,Bobby Hurley,1994,1998,G,183,165,1971-06-28,Duke
hurlero01,Roy Hurley,1947,1947,F-G,188,170,1922-08-12,Murray State
hustoge01,Geoff Huston,1980,1987,G,188,175,1957-11-08,Texas Tech
hustopa01,Paul Huston,1948,1948,F,190,175,1925-06-02,Ohio State
hutchme01,Mel Hutchins,1952,1958,F-C,198,200,1928-11-22,BYU
hutchch01,Chandler Hutchison,2019,2022,G,198,210,1996-04-26,Boise State
huttojo01,Joe Hutton,1951,1952,G,185,170,1928-10-06,Hamline University
hydergr01,Greg Hyder,1971,1971,F,198,215,1948-06-21,Eastern New Mexico University
hylanbo01,Bones Hyland,2022,2023,G,190,173,2000-09-14,VCU
